,,,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Week Start,Week End,Position,Track Name,Artist,Streams,URL
12/24/21,12/31/21,27,Knife Talk (with 21 Savage ft. Project Pat),Drake,3845322,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
12/24/21,12/31/21,28,good 4 u,Olivia Rodrigo,3831553,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
12/24/21,12/31/21,29,Run Rudolph Run - Single Version,Chuck Berry,3727012,https://open.spotify.com/track/2pnPe4pJtq7689i5ydzvJJ
12/24/21,12/31/21,30,Underneath the Tree,Kelly Clarkson,3712818,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
12/24/21,12/31/21,31,Santa Claus Is Coming To Town,The Jackson 5,3651140,https://open.spotify.com/track/6a1hzBiTkgqTsDA0Xgfh9z
12/24/21,12/31/21,32,Kiss Me More (feat. SZA),Doja Cat,3538265,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
12/24/21,12/31/21,33,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,3536077,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
12/24/21,12/31/21,34,Blue Christmas,Elvis Presley,3481632,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ
12/24/21,12/31/21,35,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,3462320,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
12/24/21,12/31/21,36,Mistletoe,Justin Bieber,3396840,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
12/24/21,12/31/21,37,Jingle Bells - Remastered 1999,Frank Sinatra,3379395,https://open.spotify.com/track/4HEOgBHRCExyYVeTyrXsnL
12/24/21,12/31/21,38,Holly Jolly Christmas,Michael Bublé,3348690,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
12/24/21,12/31/21,39,Woman,Doja Cat,3236965,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
12/24/21,12/31/21,40,Smokin Out The Window,Bruno Mars,3211739,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
12/24/21,12/31/21,41,Cold Heart - PNAU Remix,Elton John,3183750,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
12/24/21,12/31/21,42,Carol of the Bells,Mykola Dmytrovych Leontovych,3170371,https://open.spotify.com/track/4tHqQMWSqmL6YjXwsqthDI
12/24/21,12/31/21,43,Santa Baby (with Henri René & His Orchestra),Eartha Kitt,3158904,https://open.spotify.com/track/1foCxQtxBweJtZmdxhEHVO
12/24/21,12/31/21,44,Christmas Time Is Here - Vocal,Vince Guaraldi Trio,3130404,https://open.spotify.com/track/299lFlaAsNQdgbIZNPmIA0
12/24/21,12/31/21,45,Dark Red,Steve Lacy,3120148,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
12/24/21,12/31/21,46,family ties (with Kendrick Lamar),Baby Keem,3119666,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
12/24/21,12/31/21,47,"Baby, It's Cold Outside",Dean Martin,3050323,https://open.spotify.com/track/4MrfQL4TYQXJBlZYpAHTuE
12/24/21,12/31/21,48,Snowman,Sia,3040294,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
12/24/21,12/31/21,49,Shivers,Ed Sheeran,3029720,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
12/24/21,12/31/21,50,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,3012244,https://open.spotify.com/track/1SV1fxF65n9NhRHp3KlBuu
12/24/21,12/31/21,51,O Tannenbaum,Vince Guaraldi Trio,3010305,https://open.spotify.com/track/34rzJNfTd5e9s3TICFMPD0
12/24/21,12/31/21,52,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,3004964,https://open.spotify.com/track/6s2wpWPFPAgKg2LXxi1Oee
12/24/21,12/31/21,53,Little Saint Nick - 1991 Remix,The Beach Boys,2987355,https://open.spotify.com/track/5xlS0QkVrSH7ssEbBgBzbM
12/24/21,12/31/21,54,I Love You So,The Walters,2978011,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
12/24/21,12/31/21,55,Sweater Weather,The Neighbourhood,2939806,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
12/24/21,12/31/21,56,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,2891661,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
12/24/21,12/31/21,57,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,2843734,https://open.spotify.com/track/27RYrbL6S02LNVhDWVl38b
12/24/21,12/31/21,58,Mele Kalikimaka - Single Version,Bing Crosby,2842371,https://open.spotify.com/track/1GQ3cCJMAhLqWARyVZWxnO
12/24/21,12/31/21,59,Meet Me At Our Spot,THE ANXIETY,2825371,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
12/24/21,12/31/21,60,Surface Pressure,Jessica Darrow,2763356,https://open.spotify.com/track/760jhRscwGbIIe1m1IIQpU
12/24/21,12/31/21,61,Sky,Playboi Carti,2756582,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
12/24/21,12/31/21,62,RAPSTAR,Polo G,2747027,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
12/24/21,12/31/21,63,Way 2 Sexy (with Future & Young Thug),Drake,2701372,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
12/24/21,12/31/21,64,Joy To The World,Nat King Cole,2697079,https://open.spotify.com/track/1VuAamHM7P3VQQEXYGG3Uu
12/24/21,12/31/21,65,Happy Holiday / The Holiday Season,Andy Williams,2696187,https://open.spotify.com/track/1Wf14bTyb6UeKojy8ykPYm
12/24/21,12/31/21,66,Happier Than Ever,Billie Eilish,2694701,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
12/24/21,12/31/21,67,Christmas (Baby Please Come Home),Mariah Carey,2675703,https://open.spotify.com/track/3PIDciSFdrQxSQSihim3hN
12/24/21,12/31/21,68,MONTERO (Call Me By Your Name),Lil Nas X,2602423,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
12/24/21,12/31/21,69,Have Yourself A Merry Little Christmas,Judy Garland,2600943,https://open.spotify.com/track/030mot3ZKR3oskfMsqDB2R
12/24/21,12/31/21,70,2055,Sleepy Hallow,2598286,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
12/24/21,12/31/21,71,traitor,Olivia Rodrigo,2571443,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
12/24/21,12/31/21,72,I Saw Mommy Kissing Santa Claus,The Jackson 5,2540164,https://open.spotify.com/track/3lkYS3iMpWMVpaJ0yJAFrJ
12/24/21,12/31/21,73,Bad Habits,Ed Sheeran,2533682,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
12/24/21,12/31/21,74,Do You Hear What I Hear? - Remastered 2006,Bing Crosby,2521870,https://open.spotify.com/track/2Uiv8YvD3q63FGTUjkYvxT
12/24/21,12/31/21,75,Rudolph The Red-Nosed Reindeer,Burl Ives,2500824,https://open.spotify.com/track/47otoIkhx3fkdivEXL5OB6
12/24/21,12/31/21,76,No Role Modelz,J. Cole,2499404,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
12/24/21,12/31/21,77,Burn,Juice WRLD,2469794,https://open.spotify.com/track/0QwKxajohg1rAMMmv1AWe1
12/24/21,12/31/21,78,Mistletoe And Holly - Remastered 1999,Frank Sinatra,2461442,https://open.spotify.com/track/7faDzZnZYqTyYThx2sbHVQ
12/24/21,12/31/21,79,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,2459934,https://open.spotify.com/track/7ACW7VpgoKmfM1sKo15UhX
12/24/21,12/31/21,80,One Right Now (with The Weeknd),Post Malone,2459932,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
12/24/21,12/31/21,81,Already Dead,Juice WRLD,2455471,https://open.spotify.com/track/2quVkyLSVr5wX2QIhnexUt
12/24/21,12/31/21,82,(There's No Place Like) Home for the Holidays - 1959 Version,Perry Como,2444317,https://open.spotify.com/track/0hvN2v6fAcB6xWyW7UaooA
12/24/21,12/31/21,83,This Christmas,Donny Hathaway,2438635,https://open.spotify.com/track/7MSYSOobsombc1mbDWFxtD
12/24/21,12/31/21,84,By Your Side,Rod Wave,2377710,https://open.spotify.com/track/2AaJeBEq3WLcfFW1y8svDf
12/24/21,12/31/21,85,Please Come Home for Christmas - 2013 Remaster,Eagles,2328552,https://open.spotify.com/track/3QIoEi8Enr9uHffwInGIsC
12/24/21,12/31/21,86,Levitating (feat. DaBaby),Dua Lipa,2326893,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
12/24/21,12/31/21,87,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2323566,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
12/24/21,12/31/21,88,You Right,Doja Cat,2310975,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
12/24/21,12/31/21,89,Wandered To LA (with Justin Bieber),Juice WRLD,2310967,https://open.spotify.com/track/1cA4wEmLkKlttS6N89LbJh
12/24/21,12/31/21,90,drivers license,Olivia Rodrigo,2304460,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
12/24/21,12/31/21,91,Linus And Lucy,Vince Guaraldi Trio,2296628,https://open.spotify.com/track/0MmNrhvLcoWjo7AOr0vgka
12/24/21,12/31/21,92,Pepas,Farruko,2273085,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
12/24/21,12/31/21,93,THATS WHAT I WANT,Lil Nas X,2249043,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
12/24/21,12/31/21,94,Get Into It (Yuh),Doja Cat,2235064,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
12/24/21,12/31/21,95,Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,Gene Autry,2221063,https://open.spotify.com/track/25leEEaz1gIpp7o21Fqyjo
12/24/21,12/31/21,96,"You're A Mean One, Mr. Grinch - From Dr. Seuss' 'How The Grinch Stole Christmas'",Thurl Ravenscroft,2217479,https://open.spotify.com/track/6Tof6kPUc2a17GKaKz4IXz
12/24/21,12/31/21,97,Lucid Dreams,Juice WRLD,2215742,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
12/24/21,12/31/21,98,Do They Know It's Christmas? - 1984 Version,Band Aid,2208664,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
12/24/21,12/31/21,99,Merry Christmas Darling - Remix,Carpenters,2192550,https://open.spotify.com/track/0z5HSQGWgnjdNvwbOmhB2w
12/24/21,12/31/21,100,You Make It Feel Like Christmas (feat. Blake Shelton),Gwen Stefani,2177552,https://open.spotify.com/track/2OQ6a4CfUeYskpTTgyawyJ
12/24/21,12/31/21,101,deja vu,Olivia Rodrigo,2175896,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
12/24/21,12/31/21,102,20 Min,Lil Uzi Vert,2155091,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
12/24/21,12/31/21,103,Ghost,Justin Bieber,2139427,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
12/24/21,12/31/21,104,Oh My God,Adele,2136366,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
12/24/21,12/31/21,105,Freaks,Surf Curse,2123250,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
12/24/21,12/31/21,106,All Girls Are The Same,Juice WRLD,2114727,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
12/24/21,12/31/21,107,Wants and Needs (feat. Lil Baby),Drake,2102911,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
12/24/21,12/31/21,108,"Caroling, Caroling",Nat King Cole,2056405,https://open.spotify.com/track/11Z7sdkpC5IaaydoIvDn74
12/24/21,12/31/21,109,Bad Man (Smooth Criminal),Polo G,2044242,https://open.spotify.com/track/62l3NSQPUxvcwwzKUmysrE
12/24/21,12/31/21,110,Merry Christmas,Ed Sheeran,2030369,https://open.spotify.com/track/0aoUM0zcu0kCX7Cv7O939I
12/24/21,12/31/21,111,Jugaste y Sufrí,Eslabon Armado,2017951,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
12/24/21,12/31/21,112,Blinding Lights,The Weeknd,2010447,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
12/24/21,12/31/21,113,Do It To It,ACRAZE,2009307,https://open.spotify.com/track/20on25jryn53hWghthWWW3
12/24/21,12/31/21,114,Fair Trade (with Travis Scott),Drake,2002709,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
12/24/21,12/31/21,115,What Christmas Means To Me,Stevie Wonder,2002318,https://open.spotify.com/track/1V0qqWBbIWt8hlAjxTZedR
12/24/21,12/31/21,116,Alien Blues,Vundabar,1998946,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x
12/24/21,12/31/21,117,God Rest Ye Merry Gentlemen,Bing Crosby,1993390,https://open.spotify.com/track/06IdUbnrpRZ0IKI9IlO96I
12/24/21,12/31/21,118,Good Days,SZA,1958554,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
12/24/21,12/31/21,119,love nwantiti (ah ah ah),CKay,1944882,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
12/24/21,12/31/21,120,Martin & Gina,Polo G,1939519,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
12/24/21,12/31/21,121,Tell Em,Cochise,1933509,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
12/24/21,12/31/21,122,Cool Yule,Louis Armstrong,1928301,https://open.spotify.com/track/0HYlVsZx8pLI2YoECmUQAd
12/24/21,12/31/21,123,Mr. Rager,Kid Cudi,1926875,https://open.spotify.com/track/2ncLdwTd8qzkxiJjlbiOgC
12/24/21,12/31/21,124,Praise God,Kanye West,1922346,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
12/24/21,12/31/21,125,YKWIM?,Yot Club,1921162,https://open.spotify.com/track/2vWBUC9djv6BtiGlmKiQaH
12/24/21,12/31/21,126,Miss The Rage (feat. Playboi Carti),Trippie Redd,1892810,https://open.spotify.com/track/5gZYpjakt37G3c58FKcQwJ
12/24/21,12/31/21,127,Silver Bells,Bing Crosby,1888100,https://open.spotify.com/track/7ehhnVu3JUWMaSJzY1zC4k
12/24/21,12/31/21,128,Space Song,Beach House,1884711,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
12/24/21,12/31/21,129,Have Yourself A Merry Little Christmas,Sam Smith,1867065,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
12/24/21,12/31/21,130,Beggin',Måneskin,1861967,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
12/24/21,12/31/21,131,Sleigh Ride,Ella Fitzgerald,1860364,https://open.spotify.com/track/4ukUoXLuFzMixyZyabSGc4
12/24/21,12/31/21,132,Infinity,Jaymes Young,1859984,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
12/24/21,12/31/21,133,The Man with the Bag,Kay Starr,1851753,https://open.spotify.com/track/2n1xrggQtAGEV1AgzvooGB
12/24/21,12/31/21,134,Leave The Door Open,Bruno Mars,1835491,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
12/24/21,12/31/21,135,Toxic,BoyWithUke,1828669,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
12/24/21,12/31/21,136,My Only Wish (This Year),Britney Spears,1826263,https://open.spotify.com/track/0YWUHZPJVg4iujddsJDwhM
12/24/21,12/31/21,137,Fancy Like,Walker Hayes,1812669,https://open.spotify.com/track/0lnpnsrVaW9elGgRxpDCgE
12/24/21,12/31/21,138,Buy Dirt,Jordan Davis,1804495,https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60
12/24/21,12/31/21,139,505,Arctic Monkeys,1791680,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
12/24/21,12/31/21,140,Girl Of My Dreams (with SUGA of BTS),Juice WRLD,1787646,https://open.spotify.com/track/7DF8lvLdV3htIbuTWpc7lR
12/24/21,12/31/21,141,Rudolph The Red-Nosed Reindeer,Dean Martin,1785232,https://open.spotify.com/track/2L9QLAhrvtP4EYg1lY0Tnw
12/24/21,12/31/21,142,I AM WOMAN,Emmy Meli,1783581,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb
12/24/21,12/31/21,143,My Universe,Coldplay,1779000,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
12/24/21,12/31/21,144,Daddy Issues,The Neighbourhood,1763611,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
12/24/21,12/31/21,145,"Santa, Can’t You Hear Me",Kelly Clarkson,1759806,https://open.spotify.com/track/2O3MQ6H3gjrIWDcpeTrikT
12/24/21,12/31/21,146,SLOW DANCING IN THE DARK,Joji,1755398,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
12/24/21,12/31/21,147,"Merry Christmas, Happy Holidays",*NSYNC,1744508,https://open.spotify.com/track/15coTBAzEN1bOeipoNDZAR
12/24/21,12/31/21,148,Step Into Christmas,Elton John,1724403,https://open.spotify.com/track/6sBWmE23q6xQHlnEZ8jYPT
12/24/21,12/31/21,149,It's Called: Freefall,Rainbow Kitten Surprise,1716022,https://open.spotify.com/track/474uVhyGgK5MtY9gMcDgGl
12/24/21,12/31/21,150,Drip Too Hard (Lil Baby & Gunna),Lil Baby,1715923,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
12/24/21,12/31/21,151,Pursuit Of Happiness (Nightmare),Kid Cudi,1715395,https://open.spotify.com/track/4kTLpAbhuEGHAAdDjOIWaa
12/24/21,12/31/21,152,Streets,Doja Cat,1713319,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
12/24/21,12/31/21,153,See You Again (feat. Kali Uchis),"Tyler, The Creator",1709558,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
12/24/21,12/31/21,154,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,1707063,https://open.spotify.com/track/6pVW5LRWgeLaHudxauOTJU
12/24/21,12/31/21,155,Shoota (feat. Lil Uzi Vert),Playboi Carti,1706793,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
12/24/21,12/31/21,156,Ain't Shit,Doja Cat,1701486,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
12/24/21,12/31/21,157,Man in the Mirror,A Boogie Wit da Hoodie,1695312,https://open.spotify.com/track/7uLFOXgLrS90tEYPO1DGXy
12/24/21,12/31/21,158,Wishing Well,Juice WRLD,1692522,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
12/24/21,12/31/21,159,Come & Go (with Marshmello),Juice WRLD,1688523,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
12/24/21,12/31/21,160,Driving Home for Christmas - 2019 Remaster,Chris Rea,1688222,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
12/24/21,12/31/21,161,Life Goes On,Oliver Tree,1687875,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
12/24/21,12/31/21,162,Yonaguni,Bad Bunny,1682121,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
12/24/21,12/31/21,163,Circles,Post Malone,1679040,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
12/24/21,12/31/21,164,Mr. Brightside,The Killers,1677215,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
12/24/21,12/31/21,165,Wasted On You,Morgan Wallen,1673896,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
12/24/21,12/31/21,166,Rockstar In His Prime,Juice WRLD,1671414,https://open.spotify.com/track/0v36cov6Z6aEV5ZgIlqZMk
12/24/21,12/31/21,167,Robbery,Juice WRLD,1664570,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
12/24/21,12/31/21,168,Love & War,Kodak Black,1662889,https://open.spotify.com/track/1WGmhglF1ghRiHsx4YUq86
12/24/21,12/31/21,169,favorite crime,Olivia Rodrigo,1650423,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
12/24/21,12/31/21,170,Notion,The Rare Occasions,1649266,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
12/24/21,12/31/21,171,Heartbreak Anniversary,Giveon,1647707,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
12/24/21,12/31/21,172,O Come All Ye Faithful,Nat King Cole,1644175,https://open.spotify.com/track/0H1zX27yxoDrsrQA1hk5Uq
12/24/21,12/31/21,173,Jocelyn Flores,XXXTENTACION,1640829,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
12/24/21,12/31/21,174,XO Tour Llif3,Lil Uzi Vert,1623445,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
12/24/21,12/31/21,175,Looking Out for You,Joy Again,1621161,https://open.spotify.com/track/3jfZ9M23l0L7RxzYMTgBTv
12/24/21,12/31/21,176,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,1618988,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
12/24/21,12/31/21,177,Whiskey Glasses,Morgan Wallen,1617883,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
12/24/21,12/31/21,178,Heather,Conan Gray,1611571,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
12/24/21,12/31/21,179,Winter Wonderland,Darlene Love,1610387,https://open.spotify.com/track/51KCex2aoD4Ni2cRF5mFWe
12/24/21,12/31/21,180,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,1606481,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
12/24/21,12/31/21,181,Pope Is a Rockstar,SALES,1606337,https://open.spotify.com/track/0So2sgVa8aJiARPl2P29u2
12/24/21,12/31/21,182,Feline (with Polo G & Trippie Redd),Juice WRLD,1606056,https://open.spotify.com/track/5R4Yrc2j4jw1itr4hKcN26
12/24/21,12/31/21,183,The Spins,Mac Miller,1593236,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
12/24/21,12/31/21,184,I'll Be Home For Christmas - Single Version,Bing Crosby,1585803,https://open.spotify.com/track/1fjOitI0vZ41P63p1MQLcc
12/24/21,12/31/21,185,DÁKITI,Bad Bunny,1584125,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
12/24/21,12/31/21,186,The Little Drummer Boy - Remastered 2006,Bing Crosby,1581241,https://open.spotify.com/track/4FuRG9hTnc4s4EYb05st0p
12/24/21,12/31/21,187,Frosty the Snowman,The Ronettes,1580534,https://open.spotify.com/track/0OcpVNf7hnJBPbTFMSG7CI
12/24/21,12/31/21,188,Money Trees,Kendrick Lamar,1576258,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
12/24/21,12/31/21,189,O Holy Night,Etta James,1571266,https://open.spotify.com/track/2aQkTUbJUHk3F6nMipZLbz
12/24/21,12/31/21,190,The First Noël,Andy Williams,1562715,https://open.spotify.com/track/4r87anpJZfl5p6OsBZnrZs
12/24/21,12/31/21,191,White Christmas,Amy Grant,1561617,https://open.spotify.com/track/370oYn3s5EKu7ziUpMQQTr
12/24/21,12/31/21,192,telepatía,Kali Uchis,1553987,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
12/24/21,12/31/21,193,LOT OF ME,Lil Tecca,1553543,https://open.spotify.com/track/2ZXxRC6V6AXzMdbLQZMHSB
12/24/21,12/31/21,194,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,1551895,https://open.spotify.com/track/30QR0ndUdiiMQMA9g1PGCm
12/24/21,12/31/21,195,It'll Be Okay,Shawn Mendes,1551299,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
12/24/21,12/31/21,196,Mood (feat. iann dior),24kGoldn,1544286,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
12/24/21,12/31/21,197,Die For You,The Weeknd,1536551,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
12/24/21,12/31/21,198,my ex's best friend (with blackbear),Machine Gun Kelly,1528614,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
12/24/21,12/31/21,199,Calling My Phone,Lil Tjay,1521613,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
12/24/21,12/31/21,200,Sand In My Boots,Morgan Wallen,1518916,https://open.spotify.com/track/0uRrG2jRR5tuifsYIJHEao
12/17/21,12/24/21,1,Rockin' Around The Christmas Tree,Brenda Lee,11030691,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
12/17/21,12/24/21,2,Jingle Bell Rock,Bobby Helms,9746273,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
12/17/21,12/24/21,3,All I Want for Christmas Is You,Mariah Carey,9434493,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
12/17/21,12/24/21,4,It's the Most Wonderful Time of the Year,Andy Williams,8457773,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
12/17/21,12/24/21,5,White Christmas,Bing Crosby,7854538,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
12/17/21,12/24/21,6,A Holly Jolly Christmas - Single Version,Burl Ives,7321874,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh
12/17/21,12/24/21,7,Broadway Girls (feat. Morgan Wallen),Lil Durk,7076984,https://open.spotify.com/track/3DZ8dbKg4OTSSqGARvecYd
12/17/21,12/24/21,8,Last Christmas,Wham!,7068796,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
12/17/21,12/24/21,9,It's Beginning to Look a Lot like Christmas,Michael Bublé,6784657,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
12/17/21,12/24/21,10,Feliz Navidad,José Feliciano,6444986,https://open.spotify.com/track/3qCeq0rWK67SoBDgFd2sId
12/17/21,12/24/21,11,The Christmas Song (Merry Christmas To You),Nat King Cole,6312660,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
12/17/21,12/24/21,12,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,6198814,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
12/17/21,12/24/21,13,Sleigh Ride,The Ronettes,6194840,https://open.spotify.com/track/7fUYUcWy853HS8YJn0b3Sr
12/17/21,12/24/21,14,Santa Tell Me,Ariana Grande,6024193,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
12/17/21,12/24/21,15,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,5958556,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
12/17/21,12/24/21,16,Super Gremlin,Kodak Black,5770805,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
12/17/21,12/24/21,17,Heat Waves,Glass Animals,5678845,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
12/17/21,12/24/21,18,abcdefu,GAYLE,5619044,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
12/17/21,12/24/21,19,STAY (with Justin Bieber),The Kid LAROI,5596592,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
12/17/21,12/24/21,20,Easy On Me,Adele,5281782,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
