,,,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Week Start,Week End,Position,Track Name,Artist,Streams,URL
2/4/22,2/11/22,166,Leave The Door Open,Bruno Mars,1662292,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
2/4/22,2/11/22,167,"Colombia, Mi Encanto",Carlos Vives,1661641,https://open.spotify.com/track/2Q5q1q01KOdHt5fM00WUJ8
2/4/22,2/11/22,168,She Knows (feat. Amber Coffman & Cults),J. Cole,1661376,https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW
2/4/22,2/11/22,169,Out of Time,The Weeknd,1656529,https://open.spotify.com/track/2SLwbpExuoBDZBpjfefCtV
2/4/22,2/11/22,170,Fancy Like,Walker Hayes,1656003,https://open.spotify.com/track/58UKC45GPNTflCN6nwCUeF
2/4/22,2/11/22,171,Jealous,Eyedress,1654781,https://open.spotify.com/track/1aXV8GrmQLvgoFtBPERP7E
2/4/22,2/11/22,172,'Till I Collapse,Eminem,1653793,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
2/4/22,2/11/22,173,My Kind Of Woman,Mac DeMarco,1646076,https://open.spotify.com/track/4tXzPOr4UaBoA7k7pnpJI1
2/4/22,2/11/22,174,Sand In My Boots,Morgan Wallen,1643293,https://open.spotify.com/track/0uRrG2jRR5tuifsYIJHEao
2/4/22,2/11/22,175,Wet Dreamz,J. Cole,1643039,https://open.spotify.com/track/4tqcoej1zPvwePZCzuAjJd
2/4/22,2/11/22,176,Without Me,Eminem,1642731,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
2/4/22,2/11/22,177,The Hills,The Weeknd,1641853,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
2/4/22,2/11/22,178,Kilby Girl,The Backseat Lovers,1639182,https://open.spotify.com/track/1170VohRSx6GwE6QDCHPPH
2/4/22,2/11/22,179,The Night We Met,Lord Huron,1633541,https://open.spotify.com/track/3hRV0jL3vUpRrcy398teAU
